"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","226","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","230","Finding moves through its status lifecycle while severity stays immutable","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","78","Update an asset's name, region, cloud_account, tags, and asset_type","tests","2026-07-18","skipped","2026-07-18","","test_assets","",""
"","71","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","146","Report summary works for an org with no findings","tests","2026-07-18","skipped","2026-07-18","","test_reports","",""
"","79","Analyst role cannot trigger a scan","tests","2026-07-18","skipped","2026-07-18","","test_scans","",""
"","221","Severity filter on GET /findings is case-insensitive","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","76","Report summary is scoped to the requesting org","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","155","Reject invalid finding status transitions","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","153","Reject deleting an asset that has open findings","tests","2026-07-18","skipped","2026-07-18","","test_assets","",""
"","144","Analyst role can list and fetch assets","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","567","Access token is rejected after logout","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","79","Cross-org user cannot update another org's asset by ID","tests","2026-07-18","skipped","2026-07-18","","test_tenants","",""
"","304","Filter findings by status","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","146","Analyst role cannot create an asset","tests","2026-07-18","skipped","2026-07-18","","test_assets","",""
"","292","Asset from one org is not listed in another org's asset list","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","72","Analyst role cannot update an asset","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","71","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","71","Reject creating a finding with an invalid severity","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","323","Login with valid credentials returns access and refresh tokens","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","137","Return 404 when updating status of a nonexistent finding","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","140","Report summary response has the expected shape and value ranges","tests","2026-07-18","passed","2026-07-18","","test_reports","",""
"","223","Analyst role can list findings for an asset","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","71","Reject creating a finding for another org's asset","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","310","Reject invalid finding status transitions","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","72","Return 404 for GET/PUT/DELETE on a nonexistent asset ID","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","71","Reject asset creation with an invalid asset_type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","150","Filter findings by severity and asset ID","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","71","Return 404 when polling a nonexistent scan","tests","2026-07-18","passed","2026-07-18","","test_scans","",""
"","78","Reject asset creation with empty required fields","tests","2026-07-18","skipped","2026-07-18","","test_assets","",""
"","238","Status filter on GET /findings is case-insensitive","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","70","Reject asset creation with non-object tags","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","156","Analyst role can update a finding's status","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","150","Scan status is isolated between organizations","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"
Short health check on trigger only, not a lifecycle test
","149","Triggering a scan returns an in-progress status","tests","2026-07-18","passed","2026-07-18","","test_scans","",""
"","153","Request with an invalid bearer token is rejected","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","227","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","71","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","485","Refresh token can only be used once","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","151","Analyst role can read scan status","tests","2026-07-18","passed","2026-07-18","","test_scans","",""
"","70","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","226","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"
One end-to-end test for all 4 summary fields (total assets, total/open findings,
severity breakdown, risk score) instead of one test per field: create an asset +
an open CRITICAL finding, then close it, and assert exact deltas at each step.
","540","Report summary reflects asset and finding count changes","tests","2026-07-18","passed","2026-07-18","","test_reports","",""
"","71","Reject asset creation with an invalid asset_type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","71","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","228","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
