"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","133","Cross-org user cannot update another org's finding status","tests","2026-07-19","skipped","2026-07-19","","test_tenants","",""
"","311","Login with valid credentials returns access and refresh tokens","tests","2026-07-19","passed","2026-07-19","","test_auth","",""
"
Short health check on trigger only, not a lifecycle test
","119","Triggering a scan returns an in-progress status","tests","2026-07-19","passed","2026-07-19","","test_scans","",""
"","120","Analyst role can list findings for an asset","tests","2026-07-19","passed","2026-07-19","","test_findings","",""
"
One end-to-end test for all 4 summary fields (total assets, total/open findings,
severity breakdown, risk score) instead of one test per field: create an asset +
an open CRITICAL finding, then close it, and assert exact deltas at each step.
","433","Report summary reflects asset and finding count changes","tests","2026-07-19","passed","2026-07-19","","test_reports","",""
"","177","Status filter on GET /findings is case-insensitive","tests","2026-07-19","skipped","2026-07-19","","test_findings","",""
"","264","Filter findings by status","tests","2026-07-19","passed","2026-07-19","","test_findings","",""
"","117","Analyst role cannot create an asset","tests","2026-07-19","skipped","2026-07-19","","test_assets","",""
"","509","Access token is rejected after logout","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","66","Reject asset creation with an invalid asset_type","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","57","Analyst role cannot delete an asset","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","202","Create, fetch, and delete an asset of each valid type","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","254","Reject invalid finding status transitions","tests","2026-07-19","skipped","2026-07-19","","test_findings","",""
"","69","Reject asset creation with empty required fields","tests","2026-07-19","skipped","2026-07-19","","test_assets","",""
"","248","Asset from one org is not listed in another org's asset list","tests","2026-07-19","passed","2026-07-19","","test_tenants","",""
"","61","Reject creating a finding with an invalid severity","tests","2026-07-19","passed","2026-07-19","","test_findings","",""
"","64","Analyst role cannot create a finding","tests","2026-07-19","skipped","2026-07-19","","test_findings","",""
"","202","Create, fetch, and delete an asset of each valid type","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","125","Scan status is isolated between organizations","tests","2026-07-19","passed","2026-07-19","","test_tenants","",""
"","69","Reject a finding with empty title and description","tests","2026-07-19","skipped","2026-07-19","","test_findings","",""
"","64","Return 404 for GET/PUT/DELETE on a nonexistent asset ID","tests","2026-07-19","passed","2026-07-19","","test_assets","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","434","Refresh token can only be used once","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","54","Requests without an auth token are rejected across all endpoints","tests","2026-07-19","skipped","2026-07-19","","test_auth","",""
"","138","Reject deleting an asset that has open findings","tests","2026-07-19","skipped","2026-07-19","","test_assets","",""
"","115","Report summary works for an org with no findings","tests","2026-07-19","skipped","2026-07-19","","test_reports","",""
"","55","Login with an unknown email is rejected","tests","2026-07-19","passed","2026-07-19","","test_auth","",""
