"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","Return 404 for GET/PUT/DELETE on a nonexistent asset ID","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","49","Reject creating a finding for another org's asset","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","51","Requests without an auth token are rejected across all endpoints","tests","2026-07-18","skipped","2026-07-18","","test_auth","",""
"","113","Cross-org user cannot update another org's finding status","tests","2026-07-18","skipped","2026-07-18","","test_tenants","",""
"","297","Login with the wrong password is rejected","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","103","Reject creating a finding for a nonexistent asset","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","167","Severity filter on GET /findings is case-insensitive","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","56","Cross-org user cannot update another org's asset by ID","tests","2026-07-18","skipped","2026-07-18","","test_tenants","",""
"","100","Analyst role cannot create an asset","tests","2026-07-18","skipped","2026-07-18","","test_assets","",""
"","217","Reject invalid finding status transitions","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","172","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","96","Report summary response has the expected shape and value ranges","tests","2026-07-18","passed","2026-07-18","","test_reports","",""
"
One end-to-end test for all 4 summary fields (total assets, total/open findings,
severity breakdown, risk score) instead of one test per field: create an asset +
an open CRITICAL finding, then close it, and assert exact deltas at each step.
","405","Report summary reflects asset and finding count changes","tests","2026-07-18","passed","2026-07-18","","test_reports","",""
"","108","Scan status is isolated between organizations","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","49","Return 404 when polling a nonexistent scan","tests","2026-07-18","passed","2026-07-18","","test_scans","",""
"","52","Return 404 for GET/PUT/DELETE on a nonexistent asset ID","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","172","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","102","Findings list respects page and limit pagination params","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"
Short health check on trigger only, not a lifecycle test
","103","Triggering a scan returns an in-progress status","tests","2026-07-18","passed","2026-07-18","","test_scans","",""
"","302","Login with valid credentials returns access and refresh tokens","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","60","Reject a finding with empty title and description","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","55","Report summary is scoped to the requesting org","tests","2026-07-18","passed","2026-07-18","","test_tenants","",""
"","173","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","59","Reject asset creation with empty required fields","tests","2026-07-18","skipped","2026-07-18","","test_assets","",""
"","98","Analyst role can list and fetch assets","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","56","Analyst role cannot create a finding","tests","2026-07-18","skipped","2026-07-18","","test_findings","",""
"","172","Create, fetch, and delete an asset of each valid type","tests","2026-07-18","passed","2026-07-18","","test_assets","",""
"","52","Login with an unknown email is rejected","tests","2026-07-18","passed","2026-07-18","","test_auth","",""
"","159","Cross-org user cannot delete another org's asset by ID","tests","2026-07-18","skipped","2026-07-18","","test_tenants","",""
"","108","Analyst role can list findings for an asset","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
"","104","Filter findings by severity and asset ID","tests","2026-07-18","passed","2026-07-18","","test_findings","",""
